fecha_extraccion,hora_extraccion,distrito,establecimiento,direccion,telefono,precio,unidad_medida,producto,fuente
2026-06-19,09:50:45,LURIN,ENERGIGAS SAC,"PREDIO RURAL SAN PEDRO LOTE UNICO, VALLE DE LURIN, ANTIGUA PANAMERICANA SUR, KM. 34.5",999366537/981116338,6.89,Galones,GLP - Granel,Facilito Osinergmin
2026-06-19,09:50:45,LURIN,TRIMAXSUR S.A.,"CARRETERA ANTIGUA PANAMERICANA SUR KM. 32, CALLE LOS ROSALES, MZ. U LOTE N° 01, A.H. HUERTOS DE LURÍN",960176952,6.89,Galones,GLP - Granel,Facilito Osinergmin
2026-06-19,09:50:45,LURIN,FERRETERIA HUERTOS DE SANTA ROSA S.A.C.,"ANTIGUA PANAMERICANA SUR, ESQ. CON AV. LOS ALAMOS MZ. A, LOTE 1",998338570/947178144,6.9,Galones,GLP - Granel,Facilito Osinergmin
2026-06-19,09:50:45,LURIN,NEGOCIACION KIO S.A.C. LURIN,CARRETERA PANAMERICANA SUR KM. 25.62,955094939/955094453,6.91,Galones,GLP - Granel,Facilito Osinergmin
2026-06-19,09:50:45,LURIN,GRIFO NUEVO LURIN S.A.C.,"CALLE 5 MZ. F LOTE 01, URB. PROVIESA UNIVERSAL (NUEVO LURIN)",014302044/946436076,6.95,Galones,GLP - Granel,Facilito Osinergmin
2026-06-19,09:50:45,LURIN,GO COMBUSTIBLES 8 S.A.C.,"AV. X-5 MZ. G-1 LOTES 5, 6 Y 7 (ANTIGUA PANAMERICANA SUR)",,6.95,Galones,GLP - Granel,Facilito Osinergmin
2026-06-19,09:50:45,LURIN,GASAMAR SAC,"ANTIGUA CARRETERA PANAMERICANA SUR, KM.40, ESQ. CON AV. LOS EUCALIPTOS MZ.F LT.9 URB. PREDIO SANTA GENOVEVA",981421571,6.99,Galones,GLP - Granel,Facilito Osinergmin
2026-06-19,09:50:45,LURIN,INVERSIONES NOBAL S.A.C.,"AUTOPISTA MANUEL DEL VALLE MZ.Z, SUB LT.B-1, URB. LOS HUERTOS DE LURIN",998338570/988477281,7.09,Galones,GLP - Granel,Facilito Osinergmin
2026-06-19,09:50:45,LURIN,ESTACION DE SERVICIOS HERCO SAC,"CARRETERA PANAMERICANA SUR KM. 33 PARCELA C-14 A, PREDIO LAS SALINAS",014302792/982561285,7.09,Galones,GLP - Granel,Facilito Osinergmin
2026-06-19,09:50:45,LURIN,GLOBAL FUEL S.A.,CARRETERA PANAMERICANA SUR KM. 24,01932849868,7.15,Galones,GLP - Granel,Facilito Osinergmin
2026-06-19,16:35:45,ANCON,ESTACIÓN DE SERVICIOS ANCÓN S.A.,"PANAMERICANA NORTE KM. 44, URB. SAN JOSE, MZ. N LOTE 3",945635871/994644849,8.39,Galones,GLP - Granel,Facilito Osinergmin
2026-06-19,16:35:45,ANCON,CENTER GAS SAC,"PANAMERICANA NORTE KM 44.5, SUB LOTE A-1 ASOCIACION DE PRODUCTORES INDUSTRIALES PECUARIOS DE ANCÓN",016788937/981530091,8.39,Galones,GLP - Granel,Facilito Osinergmin
2026-06-19,16:35:45,ANCON,ESTACION DE SERVICIOS LLACUA SOCIEDAD ANONIMA CERRADA,"AV. LAS PYMES, ASOC. ONG. INSTITUTO DE PROMOCIÓN Y DESARROLLO DE LA PEQUEÑA Y MEDIANA EMPRESA - INDEPROPYME, MZ. L2, LOTES 04, 05, 06, 07, 08 Y 09",951117732,8.39,Galones,GLP - Granel,Facilito Osinergmin
